,id,passing_accuracy(%),passes_attempted,passes_completed,crossing_accuracy(%),crosses_attempted,crosses_completed,free_kick_taken,matches_appearance
165,250096849,91.67,61,54,12.5,8,1,1,3
166,250089209,91.67,25,24,33.34,3,1,0,3
167,250188225,91.67,15,13,0,0,0,1,3
168,250022829,91.5,109,100,28.58,7,2,6,2
169,250127538,91.5,47,43,25,4,1,1,2
170,250177722,91.5,44,41,0,1,0,1,2
171,250193531,91.5,36,33,100,1,1,1,2
172,50327423,91.5,34,31,0,0,0,0,2
173,250127439,91.34,197,183,0,0,0,1,3
174,250040471,91.34,193,178,0,0,0,14,3
175,250121132,91.34,72,65,0,0,0,2,3
176,250112217,91,258,235,42.86,7,3,3,3
177,250124068,91,213,195,0,1,0,7,3
178,1909917,91,192,175,33.34,3,1,6,3
179,250131901,91,178,166,0,0,0,4,3
180,97923,91,127,113,0,0,0,5,3
181,250181712,91,124,113,0,0,0,5,2
182,250066156,91,118,107,0,2,0,0,2
183,250124460,91,94,85,100,1,1,1,3
184,250082664,91,91,83,0,1,0,1,1
185,250059115,91,90,82,16.67,6,1,1,2
186,250113392,91,78,69,0,0,0,0,3
187,250011668,91,66,59,0,0,0,6,2
188,250052957,91,51,48,0,0,0,2,2
189,250121329,91,44,40,0,1,0,2,1
190,250089289,91,27,24,0,0,0,0,3
191,250089824,91,23,21,0,0,0,0,1
192,250056982,91,11,10,0,0,0,2,1
193,250042632,91,11,10,0,0,0,0,1
194,250134856,90.67,292,266,100,1,1,3,3
195,250041626,90.67,182,165,0,1,0,4,3
196,250176453,90.67,171,158,0,0,0,4,3
197,250153849,90.67,166,151,33.34,3,1,0,3
198,250064188,90.67,165,151,0,0,0,3,3
199,250023097,90.67,143,130,0,1,0,10,3
200,250121965,90.67,141,128,0,0,0,3,3
201,250187221,90.67,133,122,0,0,0,4,3
202,250056566,90.67,90,82,0,1,0,0,3
203,250064027,90.67,74,67,0,0,0,9,3
204,250039931,90.5,84,78,0,0,0,3,2
205,250122187,90.5,71,65,0,0,0,2,2
206,250191448,90.5,49,47,0,0,0,0,2
207,250127492,90.34,174,159,0,0,0,7,3
208,250061027,90.34,129,117,66.67,3,2,2,3
209,250118391,90.34,117,105,0,0,0,2,3
210,250121584,90.34,107,94,38.47,13,5,2,3
211,250116951,90.34,104,94,0,2,0,3,3
212,250027780,90.34,90,78,25,4,1,2,3
213,250112974,90.34,57,52,100,1,1,1,3
214,250063984,90.34,39,35,0,2,0,0,3
215,250117806,90.34,30,24,30,10,3,3,3
216,250128222,90.34,16,14,0,0,0,0,3
217,250064444,90,211,190,0,1,0,6,3
218,250088061,90,181,163,10,10,1,5,3
219,250051754,90,176,159,0,1,0,4,3
220,250014042,90,172,156,0,1,0,6,3
221,250113001,90,155,141,0,0,0,2,3
222,250091199,90,152,137,0,2,0,5,3
223,97746,90,146,132,0,0,0,4,3
224,250128255,90,141,134,20,5,1,9,3
225,250196588,90,114,103,0,1,0,1,3
226,250042780,90,111,99,0,0,0,3,3
227,250112513,90,51,46,0,0,0,2,1
228,250019346,90,50,45,0,0,0,2,1
229,250187184,90,49,44,0,3,0,0,3
230,250056189,90,21,19,50,6,3,1,1
231,250055149,90,21,19,0,0,0,1,1
232,250106935,90,19,18,0,0,0,0,2
233,250058215,90,16,15,0,1,0,1,2
234,250153701,90,15,13,0,0,0,0,2
235,250110159,90,10,9,0,0,0,0,1
236,250070417,89.67,268,242,36.85,19,7,8,3
237,250053044,89.67,204,184,0,0,0,2,3
238,250137390,89.67,189,169,0,0,0,8,3
239,250028715,89.67,175,155,25,4,1,1,3
240,250101534,89.67,138,123,8.34,12,1,2,3
241,250081921,89.67,136,126,0,1,0,3,3
242,250123677,89.67,116,104,40,5,2,1,3
243,250110734,89.67,107,96,28.58,7,2,8,3
244,250058258,89.67,96,86,25,4,1,3,3
245,250166930,89.67,93,83,0,0,0,4,3
246,250024349,89.67,82,74,33.34,3,1,4,3
247,250161881,89.67,28,24,33.34,3,1,0,3
248,250172787,89.5,139,124,0,0,0,5,2
249,250117405,89.5,43,40,16.67,6,1,0,2
250,250138985,89.5,30,28,0,0,0,1,2
