,id_player,player_name,nationality,field_position,position,weight(kg),height(cm),age,id_team,player_image
559,250197958,Mohamed Bayo,Rep of Guinea,Forward,,,,26,75797,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250197958.jpg
560,250090719,Gustaf Nilsson,Sweden,Forward,UNKNOWN,,,27,50043,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250090719.jpg
561,250117415,Eduardo Quaresma,Portugal,Defender,CENTRE_BACK,,,22,50149,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250117415.jpg
562,250138985,Kyriani Sabbe,Belgium,Defender,UNKNOWN,,,19,50043,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250138985.jpg
563,250107324,Nicolò Zaniolo,Italy,Forward,ATTACKING_MIDFIELDER,,,25,52816,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250107324.jpg
564,250101313,Rodrigo Riquelme,Spain,Midfielder,UNKNOWN,,,24,50124,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250101313.jpg
565,250105890,Joey Veerman,Netherlands,Midfielder,UNKNOWN,,,25,50062,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250105890.jpg
566,250063957,Pascal Stenzel,Germany,Defender,UNKNOWN,,,28,50107,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250063957.jpg
567,250080570,Marco Asensio,Spain,Forward,ATTACKING_MIDFIELDER,70.0,178.0,28,52747,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250080570.jpg
568,250164780,Fermín López,Spain,Forward,CENTRAL_MIDFIELDER,,,21,50080,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250164780.jpg
569,250097337,Luka Ilić,Serbia,Midfielder,CENTRAL_MIDFIELDER,,,25,50069,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250097337.jpg
570,250022869,Yussuf Poulsen,Denmark,Forward,STRIKER,78.0,193.0,30,2603790,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250022869.jpg
571,250144297,El Bilal Touré,Mali,Forward,,,,23,50107,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250144297.jpg
572,250141610,Meschack Elia,DR Congo,Forward,STRIKER,,,27,50031,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250141610.jpg
573,250162865,Zeki Amdouni,Switzerland,Forward,UNKNOWN,,,23,50147,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250162865.jpg
574,250177423,Moussa Yeo,Mali,Midfielder,,,,20,50030,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250177423.jpg
575,250198501,Anrie Chase,Japan,Defender,UNKNOWN,,,20,50107,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250198501.jpg
576,250014114,Ricardo Esgaio,Portugal,Defender,FULL_BACK,65.0,171.0,31,50149,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250014114.jpg
577,250193519,Kevin,Brazil,Midfielder,,,,21,52707,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250193519.jpg
578,250171045,Issa Kaboré,Burkina Faso,Defender,,,,23,50147,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250171045.jpg
579,250197264,Couhaib Driouech,Netherlands,Forward,,,,22,50062,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250197264.jpg
580,250135615,James McAtee,England,Midfielder,UNKNOWN,,,22,52919,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250135615.jpg
581,250102901,Mama Baldé,Guinea-Bissau,Forward,UNKNOWN,,,29,2601306,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250102901.jpg
582,250008901,Kevin De Bruyne,Belgium,Midfielder,ATTACKING_MIDFIELDER,68.0,181.0,33,52919,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250008901.jpg
583,250117806,Fabian Rieder,Switzerland,Midfielder,ATTACKING_MIDFIELDER,,,22,50107,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250117806.jpg
584,250153701,Chemsdine Talbi,Belgium,Midfielder,UNKNOWN,,,19,50043,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250153701.jpg
585,250101696,Noah Okafor,Switzerland,Forward,WINGER,,,24,50058,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250101696.jpg
586,250176491,Vinicius Tobias,Brazil,Defender,UNKNOWN,,,20,52707,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250176491.jpg
587,250129735,Luka Stojković,Croatia,Midfielder,,,,21,50164,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250129735.jpg
588,250020850,Jonas Martin,France,Midfielder,UNKNOWN,78.0,184.0,34,2601306,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250020850.jpg
589,250174851,Gijs Smal,Netherlands,Defender,,,,27,52749,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250174851.jpg
590,250089209,Jan-Niklas Beste,Germany,Defender,UNKNOWN,,,25,50147,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250089209.jpg
591,250089276,Jens Odgaard,Denmark,Forward,UNKNOWN,,,25,52969,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250089276.jpg
592,250128222,Lassina Traoré,Burkina Faso,Forward,STRIKER,,,23,52707,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250128222.jpg
