id_player,passing_accuracy(%),passes_attempted,passes_completed,crossing_accuracy(%),crosses_attempted,crosses_completed,free_kick_taken,matches_appearance
250101728,87.5,47,41,0,0,0,1,2
250129735,87.5,32,27,0,0,0,2,2
250121536,87.5,23,20,0,0,0,0,2
250121972,87.5,22,19,0,0,0,1,2
250096737,87.5,18,16,0,0,0,1,2
250006998,87.5,11,10,0,0,0,0,2
250041564,87.5,5,4,0,0,0,1,2
250143693,87.34,134,117,50,4,2,6,3
250085751,87.34,106,95,0,0,0,4,3
250106967,87.34,90,78,40,5,2,2,3
250163447,87.34,50,45,0,2,0,0,3
250130406,87.25,147,127,18.75,16,3,0,4
250046522,87,210,183,25,8,2,5,4
74699,87,164,150,7.7,13,1,5,4
250078593,87,136,118,0,2,0,2,3
250132829,87,94,82,30.77,13,4,2,3
250110894,87,61,53,0,1,0,1,1
250089289,87,51,42,0,1,0,0,4
250089719,87,45,39,12.5,8,1,1,1
250197264,87,26,21,0,4,0,0,2
250121552,87,25,21,25,4,1,0,3
250101696,87,23,21,0,0,0,0,3
250153945,86.67,182,161,37.5,8,3,2,3
250113237,86.67,122,109,0,5,0,5,3
250154416,86.67,102,91,100,1,1,2,3
250051291,86.67,75,61,0,0,0,2,3
250171283,86.5,105,90,0,4,0,4,2
250196586,86.5,97,85,0,0,0,6,2
250154302,86.5,87,78,0,0,0,0,2
250099180,86.5,44,38,0,1,0,0,4
250058270,86.5,34,29,28.58,7,2,2,2
250187671,86.5,17,13,0,1,0,0,2
250086316,86.34,136,119,0,0,0,0,3
250079541,86.34,100,88,0,0,0,4,3
250188223,86.34,79,69,16.67,6,1,1,3
250081555,86.34,33,29,100,2,2,0,3
250181680,86.25,222,194,14.29,7,1,9,4
250200228,86.25,137,119,0,2,0,2,4
250153402,86.25,83,71,20,5,1,0,4
250052554,86,186,160,0,3,0,5,4
250168990,86,172,150,0,6,0,3,4
250040521,86,139,121,12.5,8,1,1,3
250024448,86,115,99,9.1,11,1,3,2
250024456,86,68,60,0,1,0,1,4
250081721,86,65,54,0,0,0,3,2
250079003,86,64,55,50,4,2,4,3
250105890,86,44,38,40,5,2,1,1
250090955,86,39,33,0,0,0,5,2
250199902,86,29,25,100,1,1,2,1
1902685,86,25,22,0,0,0,0,2
250103561,86,7,6,0,0,0,1,1
250106969,85.75,178,152,26.67,15,4,7,4
250119677,85.75,160,140,0,2,0,6,4
250123695,85.67,185,161,29.42,17,5,3,3
250019498,85.67,134,116,30.77,13,4,2,3
250148830,85.67,118,101,0,1,0,1,3
250041770,85.67,110,94,20,5,1,0,3
250161140,85.67,64,55,50,2,1,3,3
250012069,85.67,57,49,0,0,0,3,3
250193518,85.67,36,30,0,2,0,1,3
250091841,85.67,18,15,0,0,0,0,3
250080461,85.5,64,54,0,0,0,7,2
250104939,85.5,37,32,50,2,1,2,2
250090809,85.5,18,13,0,0,0,0,2
250196665,85.5,11,9,0,0,0,0,2
250104089,85.34,42,38,0,0,0,2,3
250042780,85,151,127,0,0,0,7,4
250104066,85,148,120,0,1,0,0,4
250061721,85,144,127,0,0,0,5,4
250066739,85,129,109,20,5,1,8,2
250117405,85,81,69,7.15,14,1,0,3
250080553,85,74,64,0,0,0,0,4
250082469,85,63,52,66.67,3,2,0,3
250055957,85,60,54,0,0,0,0,3
250194673,85,53,44,0,0,0,1,3
250174737,85,48,41,0,0,0,2,1
250130786,85,45,39,0,0,0,2,3
250020850,85,33,28,0,0,0,1,2
250144964,85,20,17,0,1,0,0,1
250145845,84.75,88,77,42.86,7,3,3,4
250101144,84.67,115,94,0,0,0,7,3
250068733,84.67,86,73,0,0,0,2,3
250174822,84.5,151,130,27.28,22,6,0,4
250156002,84.5,89,77,0,1,0,2,2
250132811,84.5,83,68,0,1,0,0,4
250077750,84.5,73,62,0,0,0,4,2
250013058,84.5,65,55,14.29,7,1,5,2
250115487,84.5,20,17,0,0,0,0,2
250193519,84.5,19,16,100,1,1,0,2
250132323,84.34,168,144,14.29,7,1,5,3
250187672,84.34,124,105,50,2,1,4,3
250163786,84.34,111,95,66.67,3,2,1,3
250159544,84.34,71,60,0,0,0,0,3
