,id,player_name,nationality,field_position,position,weight(kg),height(cm),age,team_id,minutes_played,matches_appareance,goals,assists,distance_covered(km/h),top_speed,player_image
143,250023009,Leandro Trossard,Belgium,Midfielder,WINGER,61.0,171.0,29,52280,194,3,0,1,26.08,32.84,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250023009.jpg
144,250198240,Lamine Camara,Senegal,Midfielder,,,,20,50023,194,3,0,0,23.39,33.54,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250198240.jpg
145,250063394,Bruno Petković,Croatia,Forward,STRIKER,,,30,50164,193,3,2,0,21.56,29.98,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250063394.jpg
146,250112969,Artem Bondarenko,Ukraine,Midfielder,CENTRAL_MIDFIELDER,,,24,52707,193,3,0,0,27.43,30.15,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250112969.jpg
147,250132831,Reinildo,Mozambique,Defender,FULL_BACK,,,30,50124,193,3,0,0,23.03,33.76,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250132831.jpg
148,250136464,Gonçalo Inácio,Portugal,Defender,CENTRE_BACK,,,23,50149,193,3,0,0,21.89,31.05,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250136464.jpg
149,250121965,Éder Militão,Brazil,Defender,FULL_BACK,,,26,50051,192,3,0,0,20.42,33.64,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250121965.jpg
150,250080553,Serhou Guirassy,Rep of Guinea,Forward,STRIKER,,,28,52758,191,3,3,1,21.84,32.12,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250080553.jpg
151,250169705,Reo Hatate,Japan,Defender,,,,26,50050,190,3,0,1,24.22,30.55,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250169705.jpg
152,250032786,David López,Spain,Defender,CENTRE_BACK,,185.0,35,2602798,188,3,1,0,23.14,30.57,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250032786.jpg
153,250115192,Gabriel Gudmundsson,Sweden,Defender,UNKNOWN,,,25,75797,188,3,0,1,24.07,33.43,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250115192.jpg
154,250024456,Álvaro Morata,Spain,Forward,STRIKER,85.0,189.0,32,50058,188,3,0,1,22.39,33.72,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250024456.jpg
155,250064027,Kyriakos Savvidis,Greece,Midfielder,UNKNOWN,,181.0,29,52797,188,3,0,0,23.07,29.93,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250064027.jpg
156,250027780,Massadio Haïdara,Mali,Defender,UNKNOWN,,,31,2601306,186,3,0,0,22.59,32.3,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250027780.jpg
157,250200308,Auston Trusty,USA,Defender,,,,26,50050,186,3,0,0,21.32,33.21,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250200308.jpg
158,250112186,Silvère Ganvoula,Congo,Forward,,,,28,50031,186,3,0,0,19.69,34.77,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250112186.jpg
159,250024370,Piotr Zieliński,Poland,Midfielder,ATTACKING_MIDFIELDER,64.0,177.0,30,50138,185,3,0,0,24.57,30.75,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250024370.jpg
160,250127284,Joško Gvardiol,Croatia,Defender,CENTRE_BACK,,,22,52919,185,3,0,0,22.62,32.87,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250127284.jpg
161,250121584,Kang-in Lee,Korea Republic,Midfielder,STRIKER,,,23,52747,185,3,0,0,22.55,31.17,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250121584.jpg
162,250088104,Arnaut Danjuma,Netherlands,Midfielder,STRIKER,,,27,2602798,184,3,0,2,21.15,34.64,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250088104.jpg
163,250076631,Kostas Tsimikas,Greece,Defender,FULL_BACK,77.0,178.0,28,7889,184,3,0,1,23.54,31.98,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250076631.jpg
164,250065301,Aleix García,Spain,Midfielder,UNKNOWN,,185.0,27,50109,184,3,0,0,25.13,30.63,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250065301.jpg
165,250104075,Lutsharel Geertruida,Netherlands,Defender,CENTRE_BACK,,,24,2603790,182,3,0,0,20.26,31.78,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250104075.jpg
166,250064274,Breel Embolo,Switzerland,Forward,STRIKER,84.0,185.0,27,50023,181,3,1,1,17.93,32.9,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250064274.jpg
167,250187143,Adam Daghim,Denmark,Forward,UNKNOWN,,,19,50030,181,3,0,0,23.93,35.11,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250187143.jpg
168,250081921,Benjamin Pavard,France,Defender,,,,28,50138,181,3,0,0,21.03,31.81,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250081921.jpg
169,250019573,Gernot Trauner,Austria,Defender,CENTRE_BACK,,,32,52749,181,3,0,0,20.95,29.87,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250019573.jpg
170,250086315,Ángel Correa,Argentina,Forward,WINGER,70.0,174.0,29,50124,181,3,0,0,20.93,33.23,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250086315.jpg
171,103335,Axel Witsel,Belgium,Midfielder,DEFENSIVE_MIDFIELDER,73.0,186.0,35,50124,181,3,0,0,20.42,30.32,https://img.uefa.com/imgml/TP/players/1/2025/324x324/103335.jpg
172,250116951,Yann Bisseck,Germany,Defender,UNKNOWN,,,23,50138,181,3,0,0,20.27,32.56,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250116951.jpg
173,250091172,Iván Martín,Spain,Midfielder,UNKNOWN,,,25,2602798,180,3,0,0,22.8,31.55,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250091172.jpg
174,250145803,Matheus Nunes,Portugal,Midfielder,UNKNOWN,,,26,52919,180,2,1,2,22.06,35.16,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250145803.jpg
175,250132323,Wilfried Singo,Ivory Coast,Defender,,,,23,50023,180,2,1,1,18.38,35.21,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250132323.jpg
176,250172787,Jerdy Schouten,Netherlands,Midfielder,UNKNOWN,,,27,50062,180,2,1,0,21.69,30.3,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250172787.jpg
177,250181712,Mohammed Salisu,Ghana,Defender,,,,25,50023,180,2,1,0,19.42,30.48,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250181712.jpg
178,250066739,Nicolò Barella,Italy,Midfielder,CENTRAL_MIDFIELDER,,,27,50138,180,2,0,0,25.35,29.52,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250066739.jpg
179,250081553,Teun Koopmeiners,Netherlands,Midfielder,CENTRAL_MIDFIELDER,,,26,50139,180,2,0,0,24.84,31.64,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250081553.jpg
180,250110361,David Raum,Germany,Defender,UNKNOWN,,,26,2603790,180,2,0,0,22.81,33.32,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250110361.jpg
181,250024448,Dani Carvajal,Spain,Defender,FULL_BACK,73.0,173.0,32,50051,180,2,0,0,21.44,32.24,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250024448.jpg
182,250026229,Jaroslav Zelený,Czechia,Defender,FULL_BACK,,,32,50033,180,2,0,0,20.91,30.19,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250026229.jpg
183,250148830,Raúl Torrente,Spain,Defender,,,,23,50164,180,2,0,0,20.9,32.09,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250148830.jpg
184,250169265,Banhie Zoukrou,France,Defender,UNKNOWN,,,21,50031,180,2,0,0,20.43,29.37,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250169265.jpg
185,250174149,Isak Hien,Sweden,Defender,UNKNOWN,,,25,52816,180,2,0,0,20.22,33.5,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250174149.jpg
186,250196586,Brendan Chardonnet,France,Defender,UNKNOWN,,,29,2601306,180,2,0,0,20.22,31.19,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250196586.jpg
187,250041781,Niklas Süle,Germany,Defender,UNKNOWN,,,29,52758,180,2,0,0,20.05,30.68,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250041781.jpg
188,250117410,Tomás Araújo,Portugal,Defender,CENTRE_BACK,,,22,50147,180,2,0,0,19.93,35.05,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250117410.jpg
189,250122187,Mohamed Ali Camara,Rep of Guinea,Defender,CENTRE_BACK,,,27,50031,180,2,0,0,19.47,32.32,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250122187.jpg
190,250079541,Maxime Bernauer,France,Defender,CENTRE_BACK,,,26,50164,180,2,0,0,19.2,30.29,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250079541.jpg
191,250052744,David von Ballmoos,Switzerland,Goalkeeper,GOALKEEPER,,192.0,29,50031,180,2,0,0,13.25,21.44,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250052744.jpg
192,250081721,Iñaki Peña,Spain,Goalkeeper,UNKNOWN,,,25,50080,180,2,0,0,11.93,24.16,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250081721.jpg
193,250099867,Alisson Becker,Brazil,Goalkeeper,GOALKEEPER,91.0,191.0,32,7889,180,2,0,0,11.11,29.22,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250099867.jpg
194,250028705,Stefan Ortega,Germany,Goalkeeper,UNKNOWN,,,31,52919,180,2,0,0,10.6,25.31,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250028705.jpg
195,250090955,Philipp Köhn,Switzerland,Goalkeeper,GOALKEEPER,,,26,50023,180,2,0,0,10.49,22.82,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250090955.jpg
196,1907188,Lukas Hradecky,Finland,Goalkeeper,GOALKEEPER,80.0,190.0,34,50109,180,2,0,0,10.47,24.57,https://img.uefa.com/imgml/TP/players/1/2025/324x324/1907188.jpg
197,250101144,Walter Benítez,Argentina,Goalkeeper,UNKNOWN,91.0,191.0,31,50062,180,2,0,0,10.46,26.29,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250101144.jpg
198,250011668,Thibaut Courtois,Belgium,Goalkeeper,GOALKEEPER,91.0,199.0,32,50051,180,2,0,0,9.41,25.7,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250011668.jpg
199,250078922,Gianluigi Donnarumma,Italy,Goalkeeper,GOALKEEPER,90.0,196.0,25,52747,180,2,0,0,9.19,22.42,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250078922.jpg
200,250080461,Omri Glazer,Israel,Goalkeeper,,,,28,50069,180,2,0,0,8.77,19.51,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250080461.jpg
201,250102035,Jonathan David,Canada,Forward,ATTACKING_MIDFIELDER,,,24,75797,179,3,3,0,23.8,31.94,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250102035.jpg
202,250079279,Nikola Moro,Croatia,Midfielder,DEFENSIVE_MIDFIELDER,73.0,182.0,26,52969,179,3,0,0,23.3,29.27,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250079279.jpg
203,250091198,Matteo Gabbia,Italy,Defender,CENTRE_BACK,,,25,50058,179,3,0,0,22.42,32.7,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250091198.jpg
204,250113392,Riccardo Calafiori,Italy,Defender,FULL_BACK,,,22,52280,179,3,0,0,22.38,32.52,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250113392.jpg
205,250134320,Ismael Saibari,Morocco,Forward,ATTACKING_MIDFIELDER,,,23,50062,178,3,1,1,24.06,31.85,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250134320.jpg
206,250024349,Marcel Sabitzer,Austria,Midfielder,ATTACKING_MIDFIELDER,74.0,177.0,30,52758,178,3,0,0,23.3,30.59,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250024349.jpg
207,250101097,Caio Henrique,Brazil,Defender,UNKNOWN,,178.0,27,50023,178,3,0,0,22.12,33.68,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250101097.jpg
208,250091199,Alessandro Bastoni,Italy,Defender,CENTRE_BACK,,,25,50138,178,3,0,0,21.52,30.2,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250091199.jpg
209,250119677,Ramy Bensebaini,Algeria,Defender,CENTRE_BACK,,,29,52758,178,3,0,0,20.52,33.16,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250119677.jpg
210,250135339,Petar Sučić,Croatia,Midfielder,UNKNOWN,,,21,50164,178,2,1,0,24.55,31.63,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250135339.jpg
211,250103243,Dimitri Lavalée,Belgium,Defender,CENTRE_BACK,,,27,50111,177,2,0,0,19.68,31.68,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250103243.jpg
212,250096849,Cody Gakpo,Netherlands,Forward,WINGER,,,25,7889,176,3,0,1,20.45,33.16,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250096849.jpg
213,250096716,Ronaël Pierre-Gabriel,France,Defender,CENTRE_BACK,,,26,50164,176,3,0,0,20.68,32.52,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250096716.jpg
214,250112974,Yukhym Konoplia,Ukraine,Defender,UNKNOWN,,,25,52707,176,3,0,0,19.82,31.79,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250112974.jpg
215,250181460,Ayase Ueda,Japan,Forward,,,,26,52749,175,3,1,0,20.77,31.91,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250181460.jpg
216,250129746,Giovanni Fabbian,Italy,Midfielder,UNKNOWN,,,21,52969,174,3,0,0,23.26,32.98,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250129746.jpg
217,250171283,Ardon Jashari,Switzerland,Midfielder,,,,22,50043,173,2,0,0,22.46,30.28,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250171283.jpg
218,250173126,Ferran Jutglà,Spain,Forward,STRIKER,,,25,50043,172,3,0,0,22.45,32.15,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250173126.jpg
219,250129341,Tochi Chukwuani,Denmark,Midfielder,UNKNOWN,,,21,50111,172,2,0,0,23.36,30.1,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250129341.jpg
220,250144858,Yangel Herrera,Venezuela,Midfielder,DEFENSIVE_MIDFIELDER,,,26,2602798,172,2,0,0,21.45,28.05,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250144858.jpg
221,250127540,Thijs Dallinga,Netherlands,Forward,UNKNOWN,,,24,52969,170,3,0,0,21.22,31.01,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250127540.jpg
222,250101723,Mitchel Bakker,Netherlands,Defender,UNKNOWN,,,24,75797,170,2,0,0,19.79,31.96,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250101723.jpg
