id_player,distance_covered(km/h),top_speed,minutes_played,matches_appareance
250081721,24.47,25.87,360,4
250069832,21.53,23.14,360,4
250101144,20.52,26.29,360,4
250123304,19.64,22.24,360,4
250102035,47.63,32.46,359,5
250172668,43.31,34.29,359,5
250115192,45.51,33.43,359,5
250119677,42.46,33.16,358,5
250104075,29.23,31.78,357,5
250103243,42.2,31.68,357,4
250112974,42.21,31.79,356,5
250098471,40.9,31.96,356,5
250112803,37.43,33.48,355,5
250079677,41.48,32.51,355,4
250171283,46.77,31.4,353,4
250129341,48.62,30.1,352,4
250174149,39.06,33.5,350,4
250122213,45.58,34.06,349,5
250064027,42.0,30.49,348,5
1905153,40.71,32.81,347,5
250078593,46.89,30.83,347,4
250139010,39.68,31.22,347,4
250041626,40.88,32.9,346,5
250019498,42.98,30.89,345,5
250177497,42.13,33.65,344,5
250106939,39.59,32.47,342,4
250187759,43.49,34.32,340,5
250099671,42.93,32.04,340,5
250137390,39.27,33.88,340,4
250083732,45.23,32.35,340,4
250064232,43.65,32.5,340,4
250101444,47.22,31.82,338,5
250173126,43.07,32.15,338,5
250112186,36.46,34.77,337,5
250086037,41.02,31.13,337,5
250024370,32.36,31.46,337,5
250029535,47.69,29.72,336,5
250064274,33.54,32.9,334,5
50327428,27.22,32.03,334,4
250127111,39.71,33.84,331,5
250121132,40.94,32.89,331,5
250078012,42.52,32.91,330,5
250041770,40.11,31.99,330,5
250129746,42.88,32.98,330,5
250176450,35.83,31.71,330,4
250198240,40.39,33.54,329,5
250101201,18.73,24.91,329,4
250132323,34.68,35.21,328,4
250168990,39.42,31.69,325,4
250124169,39.77,32.4,324,4
250171067,39.82,34.01,321,4
250172907,38.43,33.84,321,4
250156459,34.8,34.05,320,5
250076357,35.8,34.14,320,4
250127538,41.18,35.53,319,4
250171301,39.63,31.66,318,5
250113103,43.29,32.85,317,5
250116951,30.6,32.56,317,5
250099180,38.47,32.25,316,4
250059115,40.36,29.43,316,4
250058227,42.4,33.44,315,5
250081921,31.87,31.81,315,5
250159544,40.13,33.04,315,4
250028715,38.52,31.23,315,4
250066886,36.54,33.69,315,4
250187238,36.91,34.43,313,5
250117405,37.74,33.37,313,4
250080553,35.59,32.12,310,5
250135101,39.39,29.03,310,4
250089225,42.52,30.41,310,4
250106967,37.47,32.93,310,4
250124430,38.33,32.67,309,5
250112224,39.95,34.71,308,5
250156457,40.25,31.57,308,5
250163400,30.33,32.3,308,5
250024349,40.69,30.78,306,5
250128255,36.67,32.11,306,5
250153402,37.29,33.46,305,5
250097638,38.23,32.63,304,5
250099258,32.04,34.29,303,4
250174822,33.95,34.39,302,4
250169685,30.68,32.19,302,4
250132811,40.77,33.21,301,5
250145629,37.52,33.76,301,4
250092517,37.7,32.11,301,4
250086789,39.3,32.81,300,5
250022829,28.71,31.44,299,4
250066739,30.04,30.9,298,4
250023009,39.56,32.84,297,5
250191448,42.67,30.72,296,4
250194673,34.0,30.59,294,4
250183519,33.84,33.33,291,5
250051291,18.97,25.51,291,4
250112400,35.03,34.14,290,5
250101728,31.43,32.44,290,4
250104066,38.32,33.35,289,5
250134320,38.93,31.85,288,5
250129446,34.04,32.1,287,4
250005335,36.73,27.85,286,5
250079541,31.55,31.14,286,4
250147342,35.21,34.15,284,4
250017824,35.26,33.52,284,4
250081207,37.28,29.25,283,4
250127540,35.41,31.67,282,5
250096716,32.93,32.52,282,5
250121965,29.98,34.24,282,4
250200313,31.48,32.51,281,5
250136464,31.25,31.05,281,4
250096849,33.4,33.16,280,5
250065301,38.03,30.63,280,5
250161141,37.6,30.92,280,5
250135416,33.33,32.91,280,4
250032786,33.72,30.57,278,4
250187184,33.02,33.84,276,5
250113373,33.87,33.15,276,4
250106722,32.46,32.31,276,4
250132730,34.48,34.08,274,5
250177722,33.98,32.38,274,4
250066747,36.64,29.07,273,4
250065413,34.18,34.46,272,4
250117705,32.95,33.43,271,5
250145845,33.06,34.06,271,5
103335,31.08,30.32,271,4
250043066,30.48,31.08,270,3
250122187,29.86,32.95,270,3
250160568,28.92,33.25,270,3
250052744,20.0,26.05,270,3
250087877,17.69,28.32,270,3
250077750,16.1,25.4,270,3
1907188,15.87,24.57,270,3
250066131,15.02,23.1,270,3
250073809,14.53,27.32,270,3
250078922,14.27,25.15,270,3
250011668,13.86,25.7,270,3
250171184,35.96,31.29,269,5
250081223,33.27,31.09,269,4
250155799,31.02,31.04,269,4
1909917,39.69,29.43,267,5
250167977,31.45,32.05,266,5
74699,31.08,31.13,266,5
250135339,36.05,31.63,265,3
250174063,33.81,34.08,264,5
250079383,33.11,32.27,264,5
250076631,33.27,31.98,264,4
250138382,29.77,33.85,264,3
