,id_player,fouls_committed,fouls_suffered,yellow_cards,red_cards
172,250124169,4,3,1,0
173,250189052,4,3,1,0
174,250117406,4,3,1,0
175,250014042,4,3,0,0
176,250064446,4,3,0,0
177,250065413,4,3,0,0
178,250122187,4,3,0,0
179,250082469,4,3,0,0
180,250164780,4,3,0,0
181,250104089,4,2,2,1
182,250153945,4,2,2,0
183,250188511,4,2,2,0
184,250067630,4,2,2,0
185,250122213,4,2,2,0
186,250121218,4,2,1,0
187,250137390,4,2,1,0
188,250169685,4,2,1,0
189,250200231,4,2,1,0
190,250143328,4,2,1,0
191,250005231,4,2,1,0
192,250096309,4,2,0,0
193,250106722,4,2,0,0
194,250164835,4,2,0,0
195,250132309,4,2,0,0
196,250077453,4,2,0,0
197,250185976,4,2,0,0
198,250194573,4,1,2,0
199,250176201,4,1,1,0
200,250064064,4,1,1,0
201,250019573,4,1,1,0
202,250112974,4,1,1,0
203,250079279,4,1,1,0
204,250106649,4,1,1,0
205,250177423,4,1,1,0
206,250135615,4,1,1,0
207,250189506,4,1,0,0
208,250017040,4,1,0,0
209,250014709,4,1,0,0
210,250106148,4,1,0,0
211,250028715,4,1,0,0
212,250138382,4,1,0,0
213,250103562,4,1,0,0
214,250079670,4,1,0,0
215,250163777,4,1,0,0
216,108908,4,1,0,0
217,250163447,4,1,0,0
218,250138982,4,1,0,0
219,250061027,4,0,2,0
220,250163786,4,0,2,0
221,250087118,4,0,1,0
222,250055660,4,0,1,0
223,250081207,4,0,1,0
224,250113392,4,0,1,0
225,250091198,4,0,1,0
226,250041771,4,0,1,0
227,250099399,4,0,1,0
228,250162325,4,0,0,0
229,250200298,4,0,0,0
230,250064273,4,0,0,0
231,250002096,3,12,0,0
232,250171055,3,9,0,0
233,250188247,3,8,1,0
234,250145845,3,8,0,0
235,250138928,3,8,0,0
236,250063394,3,7,1,0
237,250131541,3,7,0,0
238,250106969,3,7,0,0
239,250076126,3,7,0,0
240,250097909,3,6,0,0
