id_player,balls_recovered,tackles,tackles_won,tackles_lost,clearance_attempted
250024448,10,3,2,1,3
250121965,10,3,1,2,7
250058215,10,3,0,3,7
250055149,10,3,0,3,7
250105717,10,2,2,0,3
250153634,10,2,2,0,1
250172673,10,2,2,0,0
250058722,10,2,1,1,1
250116699,10,2,1,1,1
250091198,10,2,0,2,11
250041781,10,2,0,2,5
250140940,10,2,0,2,0
250124460,10,1,0,1,1
250138626,10,0,0,0,3
250192048,10,0,0,0,1
250128377,9,25,11,14,5
250124169,9,15,4,11,5
250169706,9,9,3,6,3
250081207,9,8,2,6,2
250101723,9,7,3,4,3
250046522,9,7,2,5,1
250097909,9,6,4,2,8
250117415,9,6,4,2,5
250121584,9,6,3,3,0
250096849,9,6,2,4,1
250092194,9,6,2,4,0
250144858,9,6,0,6,0
250193519,9,5,5,0,2
250194564,9,5,4,1,3
250145845,9,5,3,2,2
250086709,9,5,2,3,1
250187067,9,5,1,4,0
250161142,9,4,3,1,6
250005343,9,4,2,2,7
250117511,9,4,2,2,3
250134138,9,4,2,2,2
250117806,9,4,1,3,1
250066886,9,4,0,4,0
250091187,9,3,3,0,9
250188223,9,3,3,0,8
250104066,9,3,2,1,2
250167977,9,3,2,1,1
250118504,9,3,0,3,0
250159544,9,2,0,2,2
250177497,9,1,1,0,2
250153349,9,1,0,1,1
250066156,9,1,0,1,0
250121132,8,17,6,11,3
250134320,8,12,2,10,0
250132811,8,10,3,7,1
250089289,8,9,0,9,4
250086263,8,8,5,3,7
250193541,8,8,3,5,9
250113392,8,7,4,3,5
50327423,8,6,2,4,0
250024456,8,6,1,5,4
250189052,8,6,0,6,5
250121533,8,5,0,5,0
250113237,8,4,3,1,3
250019498,8,4,2,2,0
250163777,8,4,2,2,0
250128468,8,4,1,3,12
250134304,8,4,1,3,3
250121330,8,3,2,1,14
250138653,8,3,1,2,7
250174063,8,3,1,2,4
250169265,8,2,1,1,8
250142271,8,2,0,2,19
250193518,8,2,0,2,3
1905153,8,2,0,2,1
250102308,8,2,0,2,1
250167111,8,1,1,0,4
250198501,8,1,1,0,2
250163731,8,1,1,0,0
250096737,8,1,0,1,4
250200313,8,1,0,1,2
250153402,8,1,0,1,1
250144965,8,1,0,1,1
250172340,8,1,0,1,1
250156002,8,1,0,1,1
250123428,8,0,0,0,3
250067295,7,12,5,7,0
250147342,7,9,5,4,0
250117406,7,8,4,4,2
250041770,7,8,1,7,1
250054393,7,7,4,3,9
250105681,7,6,3,3,2
250106939,7,6,1,5,2
250128385,7,4,3,1,3
250163400,7,4,2,2,2
250091175,7,4,1,3,8
250143328,7,3,3,0,1
250013022,7,3,2,1,1
250027008,7,3,1,2,2
250074010,7,3,0,3,2
250106649,7,3,0,3,1
250121329,7,2,2,0,8
250087967,7,2,1,1,6
250187238,7,2,1,1,1
250112880,7,2,1,1,0
250099671,7,2,0,2,2
250174851,7,1,0,1,3
250174822,7,1,0,1,0
250082469,7,1,0,1,0
102153,6,9,3,6,1
250127540,6,8,5,3,7
250177886,6,7,2,5,7
250132730,6,6,2,4,0
103806,6,6,1,5,5
250142158,6,5,0,5,1
250061361,6,5,0,5,1
250049573,6,4,4,0,4
250132195,6,4,3,1,1
250101534,6,3,2,1,1
250054949,6,3,1,2,2
250118281,6,3,0,3,3
250087938,6,3,0,3,2
250063984,6,3,0,3,0
250124222,6,3,0,3,0
250091165,6,2,2,0,1
250016833,6,2,1,1,2
250166916,6,2,0,2,1
250177423,6,2,0,2,0
250088039,6,2,0,2,0
250067749,6,2,0,2,0
250183092,6,1,0,1,4
250173126,6,1,0,1,3
250138382,6,1,0,1,3
250099258,6,1,0,1,1
250112400,5,10,3,7,1
108908,5,9,3,6,6
250117405,5,6,1,5,2
250015966,5,6,1,5,0
250091172,5,5,2,3,0
250055109,5,4,3,1,3
250101472,5,4,3,1,2
250042329,5,4,3,1,0
250082664,5,4,2,2,0
250116904,5,4,1,3,3
250174849,5,4,1,3,2
250177722,5,4,1,3,1
250019616,5,4,1,3,0
250096954,5,4,0,4,7
250132465,5,3,2,1,2
