id_player,total_attempts,attempts_on_target,attempts_off_target,blocked
250092194,3,3,0,0
250020850,3,3,0,0
1903428,3,3,0,0
250055216,3,3,0,0
250076126,13,2,7,4
250112122,12,2,7,3
250171055,12,2,5,5
250173502,11,2,6,3
250088104,11,2,6,3
250013022,10,2,4,4
250113276,9,2,5,2
250091290,9,2,5,2
250108215,9,2,4,3
250106935,9,2,3,4
250132829,9,2,2,5
250177497,8,2,5,1
250132399,8,2,4,2
250119181,8,2,4,2
250097909,8,2,3,3
250076357,8,2,2,4
250167977,7,2,4,1
250187184,7,2,3,2
250140940,7,2,3,2
250193519,7,2,2,3
250079670,7,2,2,3
250153349,7,2,0,5
250110734,6,2,4,0
250113947,6,2,4,0
250102308,6,2,4,0
250058722,6,2,4,0
250052849,6,2,4,0
250064064,6,2,3,1
250019573,6,2,3,1
250068805,6,2,3,1
250055110,6,2,3,1
250174063,6,2,2,2
250112224,6,2,2,2
250169730,5,2,3,0
250101727,5,2,3,0
250051754,5,2,3,0
250024456,5,2,3,0
250015966,5,2,3,0
250188511,5,2,2,1
250042632,5,2,2,1
250088039,5,2,2,1
250153634,5,2,1,2
250123428,5,2,1,2
250065301,5,2,0,3
250041771,5,2,0,3
250102866,4,2,2,0
250063505,4,2,2,0
250116654,4,2,2,0
250105167,4,2,1,1
250086789,4,2,1,1
250028211,4,2,1,1
250004721,4,2,1,1
250105244,4,2,1,1
250198114,4,2,1,1
250136464,4,2,1,1
250143328,4,2,1,1
250086263,4,2,1,1
250063394,4,2,1,1
250144964,4,2,1,1
250101557,4,2,0,2
250187067,4,2,0,2
250081720,4,2,0,2
50327420,3,2,1,0
250064252,3,2,1,0
250040471,3,2,1,0
250192048,3,2,1,0
250187899,3,2,1,0
250071671,3,2,1,0
250194573,3,2,1,0
250172227,3,2,1,0
250163447,3,2,1,0
250116699,3,2,1,0
250064233,3,2,1,0
250115487,3,2,0,1
250080572,3,2,0,1
250124222,3,2,0,1
250061589,3,2,0,1
250129175,2,2,0,0
250086316,2,2,0,0
250056566,2,2,0,0
250188223,2,2,0,0
250089209,2,2,0,0
250028715,2,2,0,0
250181712,2,2,0,0
250116067,2,2,0,0
250182794,2,2,0,0
250181460,2,2,0,0
250024349,11,1,6,4
250174822,11,1,3,7
250042631,9,1,7,1
250092668,9,1,4,4
250008901,8,1,3,4
250081553,7,1,6,0
250054949,7,1,6,0
250122213,7,1,4,2
250146926,7,1,4,2
250136465,7,1,3,3
250107477,7,1,3,3
250127538,7,1,3,3
250128451,7,1,3,3
250117806,7,1,2,4
250112690,6,1,5,0
250098471,6,1,5,0
250161881,6,1,4,1
250102901,6,1,4,1
250046522,6,1,4,1
250153849,6,1,3,2
98023,6,1,3,2
250177722,5,1,4,0
250183092,5,1,3,1
250132730,5,1,3,1
250119677,5,1,3,1
250058227,5,1,3,1
250113237,5,1,3,1
250110894,5,1,3,1
250145845,5,1,2,2
250138928,5,1,2,2
250010223,5,1,2,2
250068808,5,1,1,3
250144858,5,1,0,4
250118391,4,1,3,0
250171283,4,1,3,0
250065413,4,1,3,0
250160568,4,1,3,0
250158901,4,1,2,1
250113103,4,1,2,1
250064188,4,1,2,1
250055663,4,1,2,1
250106967,4,1,2,1
250003318,4,1,2,1
250166754,4,1,2,1
250144297,4,1,2,1
250132323,4,1,2,1
250113142,4,1,2,1
250104939,4,1,2,1
250115134,4,1,2,1
250053044,4,1,1,2
250196543,4,1,1,2
250133390,4,1,1,2
250129341,4,1,1,2
250079279,4,1,1,2
