id_player,distance_covered(km),top_speed(km/h),minutes_played,matches_appareance
250163786,59.7,32.98,477,6
250112880,57.26,33.74,475,6
250058258,43.09,33.07,475,6
250167111,57.66,34.36,473,6
250158901,52.3,30.8,472,6
250196712,52.34,34.34,470,6
250146674,58.89,32.63,469,6
250091290,62.19,35.14,469,6
250121218,49.5,32.66,468,6
250118391,54.24,33.29,468,6
250004721,62.12,31.34,468,6
250106148,57.04,35.94,467,6
250143693,64.52,31.42,467,6
250087938,61.6,32.25,466,6
250171055,55.8,34.16,466,6
250107477,54.5,32.43,466,6
250196709,61.32,30.55,465,6
250157930,56.88,34.2,465,6
250013022,52.38,34.59,463,6
250200228,64.0,32.65,462,6
250023097,62.91,30.59,462,6
250064446,56.99,32.43,457,6
250027780,54.96,32.3,456,6
250200308,53.83,33.21,456,6
250113276,51.92,35.38,455,6
250113993,53.93,33.37,455,6
250127284,55.36,33.15,455,6
250164991,63.74,31.7,454,6
250089228,47.81,35.59,452,6
250196588,61.02,29.92,452,6
250019573,51.22,31.94,451,6
250016833,55.78,30.35,450,5
250121533,49.15,35.47,450,5
250063505,51.43,32.63,450,5
250127492,53.63,33.02,450,5
250081553,61.49,31.65,450,5
250188474,60.33,34.72,450,5
250128120,56.05,35.6,450,5
250102868,55.14,32.91,450,5
250132401,54.19,32.37,450,5
250121149,53.34,33.23,450,5
250126449,50.6,33.5,450,5
250117410,49.76,35.05,450,5
250196586,49.62,31.19,450,5
250081721,30.99,25.87,450,5
250069832,27.37,23.14,450,5
250101144,26.14,26.29,450,5
250102035,58.67,32.46,449,6
250140940,55.91,32.97,449,6
250112969,62.68,32.37,449,6
250172672,57.84,32.28,449,5
250119677,52.35,33.16,448,6
250091013,47.82,33.8,448,5
250104075,38.65,31.78,447,6
250103243,53.42,31.68,447,5
250112974,52.58,31.79,446,6
250131901,50.07,33.28,444,5
250067630,48.2,35.17,444,5
250171283,59.25,32.62,443,5
250174149,48.6,34.64,440,5
250122213,56.84,34.06,439,6
250125538,49.63,35.03,439,6
250129341,60.6,30.1,439,5
1905153,50.76,32.81,437,6
250078593,59.25,32.29,437,5
250139010,50.54,31.22,437,5
250041626,51.96,32.9,436,6
250169705,56.82,32.18,435,6
250102866,47.42,30.6,433,6
250172668,52.28,34.29,432,6
250064027,52.54,30.49,432,6
250106939,50.1,32.47,432,5
250177497,53.51,33.65,431,6
250056159,54.55,31.65,430,6
250187672,55.61,35.56,429,5
250076574,42.03,35.67,428,6
250101444,59.69,31.82,428,6
250086037,53.05,31.13,427,6
250024370,42.69,31.46,427,6
50327428,36.39,32.03,424,5
250085751,48.35,32.72,422,5
250085369,46.13,33.28,421,5
